id,text,skills,categories,source,anchor_skill,anchor_category
sample-01722,"This Team Lead position focuses on building high-impact data products. Strong experience with cross-functional, Mentoring, and Java is expected. The role needs hands-on knowledge of Java and sql. You will partner with product, engineering, and analytics teams on production use cases. Nice to have: communicate and mongo.",Collaboration|Communication|Java|Mentoring|MongoDB|SQL,Database|Programming Language|Soft Skill,synthetic,Collaboration,Soft Skill
sample-00506,"Our team needs a Application Engineer to scale critical business workflows. You must have experience with tf, nlp, Flask, and MongoDB. Required skills include Flask, MongoDB, and ml. You will partner with product, engineering, and analytics teams on production use cases. Bonus points if you have worked with csharp and collaboration.",C#|Collaboration|Flask|Machine Learning|MongoDB|NLP|TensorFlow,Data/AI|Database|Framework/Library|Programming Language|Soft Skill,synthetic,TensorFlow,Framework/Library
sample-00788,"We are hiring a Cloud Engineer to build reliable production systems. Required skills include gitlab ci/cd and big query. The role needs hands-on knowledge of big query and team lead. You will design pipelines, support delivery teams, and improve model reliability. Nice to have: Snowflake and computer vision.",BigQuery|Computer Vision|GitLab CI/CD|Leadership|Snowflake,Cloud/DevOps|Data/AI|Database|Soft Skill,synthetic,GitLab CI/CD,Cloud/DevOps
sample-01083,"The AI Engineer will help modernize our platform and delivery process. Strong experience with Data Analysis, unit testing, micro services, and cross-functional is expected. Required skills include micro services, cross-functional, and google cloud platform. You will partner with product, engineering, and analytics teams on production use cases. Bonus points if you have worked with Elasticsearch.",Collaboration|Data Analysis|Elasticsearch|GCP|Microservices|Unit Testing,Architecture|Cloud/DevOps|Data/AI|Database|Soft Skill|Testing/Quality,synthetic,Data Analysis,Data/AI
sample-00650,"This DevOps Engineer position focuses on building high-impact data products. Strong experience with Kubernetes and distributed systems is expected. Required skills include distributed systems and collaboration. You will partner with product, engineering, and analytics teams on production use cases. Nice to have: flask and Node.js.",Collaboration|Flask|Kubernetes|Node.js|System Design,Architecture|Cloud/DevOps|Framework/Library|Soft Skill,synthetic,Kubernetes,Cloud/DevOps
sample-01079,We are hiring a AI Engineer to build reliable production systems. Strong experience with Computer Vision and cross-functional is expected. The role needs hands-on knowledge of cross-functional and Redis. You will translate business requirements into deployable technical solutions. Bonus points if you have worked with ml.,Collaboration|Computer Vision|Machine Learning|Redis,Data/AI|Database|Soft Skill,synthetic,Computer Vision,Data/AI
sample-00317,Our team needs a Full Stack Engineer to scale critical business workflows. The role needs hands-on knowledge of Vue.js and Mentoring. You must have experience with Mentoring and snowflake. You will translate business requirements into deployable technical solutions. Bonus points if you have worked with Computer Vision.,Computer Vision|Mentoring|Snowflake|Vue.js,Data/AI|Database|Framework/Library|Soft Skill,synthetic,Vue.js,Framework/Library
sample-00653,"The Infrastructure Engineer will help modernize our platform and delivery process. The role needs hands-on knowledge of kubernetes, ansible, integration tests, and Snowflake. Required skills include integration tests, Snowflake, and ETL. You will partner with product, engineering, and analytics teams on production use cases. Nice to have: bigquery and continuous delivery.",Ansible|BigQuery|CI/CD|ETL|Integration Testing|Kubernetes|Snowflake,Cloud/DevOps|Data/AI|Database|Testing/Quality,synthetic,Kubernetes,Cloud/DevOps
sample-00288,"This ML Engineer position focuses on building high-impact data products. Required skills include react.js, github actions, neural networks, and SQL. Required skills include neural networks, SQL, and lead teams. You will design pipelines, support delivery teams, and improve model reliability. Nice to have: graphql and docker.",Deep Learning|Docker|GitHub Actions|GraphQL|Leadership|React|SQL,Architecture|Cloud/DevOps|Data/AI|Framework/Library|Programming Language|Soft Skill,synthetic,React,Framework/Library
sample-01485,"This Quality Engineer position focuses on building high-impact data products. Strong experience with PyTest and Scala is expected. Required skills include Scala and agile. You will partner with product, engineering, and analytics teams on production use cases. Preferred experience includes Mentoring.",Agile|Mentoring|PyTest|Scala,Process|Programming Language|Soft Skill|Testing/Quality,synthetic,PyTest,Testing/Quality
